Company Name,Ticker,Zacks Industry Rank,Zacks Rank,VGM Score
"Atlantica Yield PLC","AY","76","3","C"
"AutoZone, Inc.","AZO","225","3","A"
"Aspen Technology, Inc.","AZPN","81","4","D"
"Azure Power Global Ltd.","AZRE","50","2","C"
"AZUL SA","AZUL","135","4","C"
"AZZ Inc.","AZZ","148","2","A"
"Barnes Group, Inc.","B","219","4","A"
"The Boeing Company","BA","139","3","F"
"Bank of America Corporation","BAC","247","5","F"
"Bank of China Ltd.","BACHY","165","3","B"
"Bae Systems PLC","BAESY","211","3","A"
"Balfour Beatty PLC","BAFYY","76","3","A"
"Booz Allen Hamilton Holding Corporation","BAH","183","3","A"
"Braskem S.A.","BAK","148","3","C"
"Brookfield Asset Management Inc","BAM","139","3","B"
"Bayerische Motoren Werke AG","BAMXF","243","5","C"
"Banc of California, Inc.","BANC","218","3","F"
"BancFirst Corporation","BANF","218","4","D"
"Banner Corporation","BANR","181","4","C"
"Credicorp Ltd.","BAP","165","4","F"
"BASF SE","BASFY","192","3","B"
"Liberty Media Corporation","BATRK","139","2","D"
"Baxter International Inc.","BAX","68","3","D"
"Bay Banks of Virginia Inc.","BAYK","247","3","C"
"BlackBerry Limited","BB","121","3","F"
"BBVA Banco Frances S.A.","BBAR","165","2","A"
"SIGNATURE AVIAT","BBAVY","135","3","B"
"Bed Bath  Beyond Inc.","BBBY","192","3","A"
"CONCRETE PUMPING HOLDINGS, INC.","BBCP","183","3","F"
"Banco Bradesco SA","BBD","165","3","D"
"BARINGS BDC, INC.","BBDC","152","3","C"
"Barrett Business Services, Inc.","BBSI","223","4","B"
"Brookfield Business Partners L.P.","BBU","56","3","A"
"Banco Bilbao Viscaya Argentaria S.A.","BBVA","165","3","D"
"BuildABear Workshop, Inc.","BBW","192","3","A"
"BBX Capital Corp.","BBX","183","3","F"
"Best Buy Co., Inc.","BBY","212","4","A"
"Brunswick Corporation","BC","135","3","F"
"Brilliance China Automotive Holdings Ltd. Unsponsored ADR","BCAUY","165","3","C"
"BCB Bancorp, Inc. NJ","BCBP","219","3","F"
"Boise Cascade, L.L.C.","BCC","163","3","C"
"BCE, Inc.","BCE","72","3","C"
"Banco De Chile","BCH","165","4","C"
"Babcock International Group PLC","BCKIY","160","4","A"
"Bay Commercial Bank","BCML","141","4","D"
"Bank of Communications Co.","BCMXY","165","3","B"
"Brinks Company The","BCO","223","5","D"
"Blucora, Inc.","BCOR","75","5","A"
"Balchem Corporation","BCPC","150","2","D"
"Barclays PLC","BCS","165","3","D"
"Bain Capital Specialty Finance, Inc.","BCSF","152","4","F"
"Belden Inc","BDC","212","4","B"
"Bridge Bancorp, Inc.","BDGE","219","3","C"
"Brandywine Realty Trust","BDN","80","3","C"
"Becton, Dickinson and Company","BDX","167","3","B"
"BioTelemetry, Inc.","BEAT","63","4","D"
"Beacon Roofing Supply, Inc.","BECN","233","5","A"
"Franklin Resources, Inc.","BEN","161","3","B"
"Berry Global Group, Inc.","BERY","126","3","A"
"BEST, Inc. Sponsored ADR","BEST","206","3","A"
"BrownForman Corporation","BF.B","167","4","D"
"Bank First National Corporation","BFC","219","4","F"
"BankFinancial Corporation","BFIN","181","3","F"
"Saul Centers, Inc.","BFS","181","4","D"
"Business First Bancshares, Inc.","BFST","219","4","C"
"Bunge Limited","BG","81","4","C"
"BGC Partners, Inc.","BGCP","150","3","B"
"Briggs  Stratton Corporation","BGG","223","3","C"
